
C:\Users\Nischal>netstat -aon

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.2.10:52993     185.167.164.42:443     ESTABLISHED     13748
  TCP    192.168.2.10:52995     4.78.226.234:443       ESTABLISHED     13748
  TCP    192.168.2.10:52996     23.59.158.183:443      ESTABLISHED     13748
  TCP    192.168.2.10:52997     23.59.158.183:443      ESTABLISHED     13748
  TCP    192.168.2.10:52998     37.157.6.252:443       ESTABLISHED     13748
  TCP    192.168.2.10:52999     151.101.22.49:443      ESTABLISHED     13748
  TCP    192.168.2.10:53002     52.86.46.105:443       TIME_WAIT       0
  TCP    192.168.2.10:53004     35.186.202.217:443     ESTABLISHED     13748
  TCP    192.168.2.10:53007     72.30.2.182:443        ESTABLISHED     13748
  TCP    192.168.2.10:53009     107.23.60.131:443      TIME_WAIT       0
  TCP    192.168.2.10:53010     208.185.50.60:443      ESTABLISHED     13748
  TCP    192.168.2.10:53011     208.185.50.60:443      ESTABLISHED     13748
  TCP    192.168.2.10:53014     172.229.218.208:443    ESTABLISHED     13748
  TCP    192.168.2.10:53019     50.57.31.206:443       ESTABLISHED     13748
  TCP    192.168.2.10:53020     4.78.226.240:443       ESTABLISHED     13748
  TCP    192.168.2.10:53021     67.69.197.149:443      ESTABLISHED     13748
  TCP    192.168.2.10:53023     216.46.185.183:443     ESTABLISHED     13748
  TCP    192.168.2.10:53024     192.243.250.36:443     ESTABLISHED     13748
  TCP    192.168.2.10:53026     204.2.255.232:443      ESTABLISHED     13748
  TCP    192.168.2.10:53028     192.243.250.58:443     ESTABLISHED     13748
  TCP    192.168.2.10:53030     139.162.19.41:443      TIME_WAIT       0
  TCP    192.168.2.10:53031     23.34.197.133:443      ESTABLISHED     13748
  TCP    192.168.2.10:53032     23.34.197.133:443      ESTABLISHED     13748
  TCP    192.168.2.10:53033     31.172.81.172:443      ESTABLISHED     13748
  TCP    192.168.2.10:53034     31.13.71.36:443        TIME_WAIT       0
  TCP    192.168.2.10:53036     104.16.91.60:443       ESTABLISHED     13748
  TCP    192.168.2.10:53038     216.46.185.184:443     ESTABLISHED     13748
  TCP    192.168.2.10:53039     52.84.94.76:443        ESTABLISHED     13748
  TCP    192.168.2.10:53040     104.20.68.222:443      ESTABLISHED     13748
  TCP    192.168.2.10:53042     162.248.19.147:443     ESTABLISHED     13748
  TCP    192.168.2.10:53043     184.29.125.197:443     ESTABLISHED     13748
  TCP    192.168.2.10:53044     151.101.20.166:443     ESTABLISHED     13748
  TCP    192.168.2.10:53045     31.172.81.172:443      ESTABLISHED     13748
  TCP    192.168.2.10:53048     63.241.108.103:443     TIME_WAIT       0
  TCP    192.168.2.10:53050     208.185.50.56:443      TIME_WAIT       0
  TCP    192.168.2.10:53057     104.16.230.152:443     ESTABLISHED     13748
  TCP    192.168.2.10:53062     146.20.129.134:443     ESTABLISHED     13748
  TCP    192.168.2.10:53063     184.29.125.197:443     ESTABLISHED     13748
  TCP    192.168.2.10:53070     23.41.180.125:443      ESTABLISHED     13748
  TCP    192.168.2.10:53071     23.34.194.55:443       ESTABLISHED     13748
  TCP    192.168.2.10:53072     23.34.211.77:443       ESTABLISHED     13748
  TCP    192.168.2.10:53074     104.19.198.151:443     ESTABLISHED     13748
  TCP    192.168.2.10:53077     23.34.194.55:443       ESTABLISHED     13748
  TCP    192.168.2.10:53085     204.154.111.119:443    TIME_WAIT       0
  TCP    192.168.2.10:53088     172.217.2.162:443      ESTABLISHED     13748
  TCP    192.168.2.10:53091     52.40.222.98:443       ESTABLISHED     13748
  TCP    192.168.2.10:53092     31.13.71.1:443         ESTABLISHED     13748
